date,open,high,low,close,volume
20241003  23:57:30,226.41,226.5,226.37,226.48,-1
20241003  23:57:45,226.48,226.59,226.48,226.59,-1
20241003  23:58:00,226.59,226.61,226.53,226.6,-1
20241003  23:58:15,226.6,226.64,226.51,226.51,-1
20241003  23:58:30,226.51,226.59,226.51,226.57,-1
20241003  23:58:45,226.57,226.59,226.46,226.47,-1
20241003  23:59:00,226.47,226.47,226.33,226.4,-1
20241003  23:59:15,226.4,226.44,226.36,226.44,-1
20241003  23:59:30,226.44,226.44,226.37,226.4,-1
20241003  23:59:45,226.4,226.43,226.28,226.31,-1
20241004  00:00:00,226.31,226.66,226.29,226.56,-1
20241004  00:00:15,226.56,226.57,226.39,226.44,-1
20241004  00:00:30,226.44,226.68,226.44,226.62,-1
20241004  00:00:45,226.62,226.65,226.54,226.6,-1
20241004  00:01:00,226.6,226.65,226.52,226.64,-1
20241004  00:01:15,226.64,226.66,226.56,226.65,-1
20241004  00:01:30,226.65,226.68,226.6,226.67,-1
20241004  00:01:45,226.67,226.74,226.65,226.73,-1
20241004  00:02:00,226.73,226.8,226.71,226.76,-1
20241004  00:02:15,226.76,226.81,226.66,226.7,-1
20241004  00:02:30,226.7,226.75,226.62,226.64,-1
20241004  00:02:45,226.64,226.71,226.42,226.48,-1
20241004  00:03:00,226.48,226.56,226.37,226.38,-1
20241004  00:03:15,226.38,226.4,226.26,226.36,-1
20241004  00:03:30,226.36,226.36,226.24,226.29,-1
20241004  00:03:45,226.29,226.36,226.25,226.32,-1
20241004  00:04:00,226.32,226.47,226.31,226.46,-1
20241004  00:04:15,226.46,226.51,226.43,226.45,-1
20241004  00:04:30,226.45,226.54,226.45,226.5,-1
20241004  00:04:45,226.5,226.56,226.45,226.53,-1
20241004  00:05:00,226.53,226.63,226.52,226.54,-1
20241004  00:05:15,226.54,226.58,226.41,226.55,-1
20241004  00:05:30,226.55,226.58,226.44,226.47,-1
20241004  00:05:45,226.47,226.58,226.43,226.54,-1
20241004  00:06:00,226.54,226.61,226.51,226.54,-1
20241004  00:06:15,226.54,226.6,226.52,226.57,-1
20241004  00:06:30,226.57,226.67,226.57,226.64,-1
20241004  00:06:45,226.64,226.64,226.57,226.59,-1
20241004  00:07:00,226.59,226.68,226.57,226.6,-1
20241004  00:07:15,226.6,226.61,226.47,226.52,-1
20241004  00:07:30,226.52,226.54,226.43,226.46,-1
20241004  00:07:45,226.46,226.46,226.31,226.36,-1
20241004  00:08:00,226.36,226.37,226.31,226.31,-1
20241004  00:08:15,226.31,226.32,226.21,226.27,-1
20241004  00:08:30,226.27,226.3,226.2,226.29,-1
20241004  00:08:45,226.29,226.33,226.2,226.31,-1
20241004  00:09:00,226.31,226.31,226.19,226.25,-1
20241004  00:09:15,226.25,226.29,226.22,226.27,-1
20241004  00:09:30,226.27,226.34,226.27,226.3,-1
20241004  00:09:45,226.3,226.41,226.3,226.38,-1
20241004  00:10:00,226.38,226.47,226.31,226.33,-1
20241004  00:10:15,226.33,226.38,226.27,226.29,-1
20241004  00:10:30,226.29,226.35,226.27,226.34,-1
20241004  00:10:45,226.34,226.4,226.31,226.38,-1
20241004  00:11:00,226.38,226.42,226.31,226.37,-1
20241004  00:11:15,226.37,226.37,226.26,226.26,-1
20241004  00:11:30,226.26,226.28,226.19,226.2,-1
20241004  00:11:45,226.2,226.24,226.17,226.24,-1
20241004  00:12:00,226.24,226.31,226.23,226.25,-1
20241004  00:12:15,226.25,226.26,226.12,226.13,-1
20241004  00:12:30,226.13,226.13,226.05,226.1,-1
20241004  00:12:45,226.1,226.18,226.05,226.17,-1
20241004  00:13:00,226.17,226.19,225.87,225.89,-1
20241004  00:13:15,225.89,225.9,225.77,225.81,-1
20241004  00:13:30,225.81,225.85,225.53,225.56,-1
20241004  00:13:45,225.56,225.58,225.42,225.44,-1
20241004  00:14:00,225.44,225.47,225.2,225.24,-1
20241004  00:14:15,225.24,225.53,225.2,225.52,-1
20241004  00:14:30,225.52,225.68,225.52,225.65,-1
20241004  00:14:45,225.65,225.72,225.62,225.69,-1
20241004  00:15:00,225.69,225.81,225.62,225.8,-1
20241004  00:15:15,225.8,225.8,225.65,225.74,-1
20241004  00:15:30,225.74,225.77,225.56,225.62,-1
20241004  00:15:45,225.62,225.65,225.5,225.53,-1
20241004  00:16:00,225.53,225.55,225.31,225.36,-1
20241004  00:16:15,225.36,225.49,225.32,225.43,-1
20241004  00:16:30,225.43,225.56,225.42,225.56,-1
20241004  00:16:45,225.56,225.74,225.54,225.69,-1
20241004  00:17:00,225.69,225.73,225.61,225.62,-1
20241004  00:17:15,225.62,225.75,225.61,225.73,-1
20241004  00:17:30,225.73,225.89,225.72,225.77,-1
20241004  00:17:45,225.77,225.8,225.72,225.77,-1
20241004  00:18:00,225.77,225.79,225.69,225.69,-1
20241004  00:18:15,225.69,225.75,225.59,225.6,-1
20241004  00:18:30,225.6,225.69,225.56,225.58,-1
20241004  00:18:45,225.58,225.68,225.58,225.68,-1
20241004  00:19:00,225.68,225.68,225.54,225.61,-1
20241004  00:19:15,225.61,225.61,225.52,225.52,-1
20241004  00:19:30,225.52,225.6,225.46,225.47,-1
20241004  00:19:45,225.47,225.52,225.42,225.5,-1
20241004  00:20:00,225.5,225.5,225.31,225.31,-1
20241004  00:20:15,225.31,225.39,225.23,225.36,-1
20241004  00:20:30,225.36,225.37,225.32,225.36,-1
20241004  00:20:45,225.36,225.36,225.18,225.19,-1
20241004  00:21:00,225.19,225.28,225.18,225.25,-1
20241004  00:21:15,225.25,225.32,225.19,225.25,-1
20241004  00:21:30,225.25,225.27,225.1,225.2,-1
20241004  00:21:45,225.2,225.27,225.18,225.25,-1
20241004  00:22:00,225.25,225.26,225.09,225.15,-1
20241004  00:22:15,225.15,225.21,225.05,225.06,-1
20241004  00:22:30,225.06,225.07,224.81,224.83,-1
20241004  00:22:45,224.83,224.88,224.76,224.82,-1
20241004  00:23:00,224.82,224.89,224.71,224.88,-1
20241004  00:23:15,224.88,224.98,224.86,224.97,-1
20241004  00:23:30,224.97,225.1,224.93,225.08,-1
20241004  00:23:45,225.08,225.15,225.06,225.1,-1
20241004  00:24:00,225.1,225.26,225.09,225.19,-1
20241004  00:24:15,225.19,225.28,225.19,225.19,-1
20241004  00:24:30,225.19,225.2,225.04,225.11,-1
20241004  00:24:45,225.11,225.12,224.99,225.06,-1
20241004  00:25:00,225.06,225.13,225.01,225.06,-1
20241004  00:25:15,225.06,225.07,224.99,225,-1
20241004  00:25:30,225,225.01,224.94,224.97,-1
20241004  00:25:45,224.97,224.99,224.88,224.97,-1
20241004  00:26:00,224.97,224.98,224.88,224.97,-1
20241004  00:26:15,224.97,225.06,224.96,225.04,-1
20241004  00:26:30,225.04,225.04,224.97,224.98,-1
20241004  00:26:45,224.98,224.99,224.91,224.98,-1
20241004  00:27:00,224.98,225.05,224.95,225.03,-1
20241004  00:27:15,225.03,225.05,224.97,224.99,-1
20241004  00:27:30,224.99,225.05,224.94,225.03,-1
20241004  00:27:45,225.03,225.08,224.94,224.97,-1
20241004  00:28:00,224.97,224.98,224.83,224.85,-1
20241004  00:28:15,224.85,224.88,224.83,224.85,-1
20241004  00:28:30,224.85,224.97,224.81,224.95,-1
20241004  00:28:45,224.95,224.99,224.93,224.98,-1
20241004  00:29:00,224.98,224.99,224.88,224.95,-1
20241004  00:29:15,224.95,225.01,224.9,224.94,-1
20241004  00:29:30,224.94,224.97,224.89,224.9,-1
20241004  00:29:45,224.9,224.9,224.82,224.84,-1
20241004  00:30:00,224.84,224.84,224.7,224.72,-1
20241004  00:30:15,224.72,224.76,224.67,224.69,-1
20241004  00:30:30,224.69,224.7,224.62,224.63,-1
20241004  00:30:45,224.63,224.74,224.62,224.69,-1
20241004  00:31:00,224.69,224.77,224.66,224.74,-1
20241004  00:31:15,224.74,224.77,224.66,224.75,-1
20241004  00:31:30,224.75,224.83,224.74,224.82,-1
20241004  00:31:45,224.82,224.84,224.77,224.78,-1
20241004  00:32:00,224.78,224.93,224.78,224.92,-1
20241004  00:32:15,224.92,225.02,224.9,224.98,-1
20241004  00:32:30,224.98,225.1,224.96,225.1,-1
20241004  00:32:45,225.1,225.13,225.05,225.13,-1
20241004  00:33:00,225.13,225.34,225.11,225.28,-1
20241004  00:33:15,225.28,225.35,225.19,225.29,-1
20241004  00:33:30,225.29,225.45,225.28,225.41,-1
20241004  00:33:45,225.41,225.43,225.3,225.31,-1
20241004  00:34:00,225.31,225.5,225.3,225.47,-1
20241004  00:34:15,225.47,225.49,225.41,225.43,-1
20241004  00:34:30,225.43,225.51,225.43,225.47,-1
20241004  00:34:45,225.47,225.5,225.44,225.47,-1
20241004  00:35:00,225.47,225.53,225.41,225.49,-1
20241004  00:35:15,225.49,225.51,225.42,225.5,-1
20241004  00:35:30,225.5,225.53,225.47,225.5,-1
20241004  00:35:45,225.5,225.52,225.44,225.44,-1
20241004  00:36:00,225.44,225.47,225.36,225.38,-1
20241004  00:36:15,225.38,225.4,225.29,225.33,-1
20241004  00:36:30,225.33,225.33,225.23,225.25,-1
20241004  00:36:45,225.25,225.38,225.25,225.37,-1
20241004  00:37:00,225.37,225.37,225.23,225.29,-1
20241004  00:37:15,225.29,225.3,225.22,225.25,-1
20241004  00:37:30,225.25,225.26,225.2,225.23,-1
20241004  00:37:45,225.23,225.3,225.22,225.26,-1
20241004  00:38:00,225.26,225.32,225.23,225.28,-1
20241004  00:38:15,225.28,225.34,225.27,225.3,-1
20241004  00:38:30,225.3,225.31,225.2,225.23,-1
20241004  00:38:45,225.23,225.28,225.22,225.26,-1
20241004  00:39:00,225.26,225.27,225.17,225.22,-1
20241004  00:39:15,225.22,225.27,225.2,225.22,-1
20241004  00:39:30,225.22,225.24,225.17,225.24,-1
20241004  00:39:45,225.24,225.29,225.22,225.27,-1
20241004  00:40:00,225.27,225.39,225.25,225.39,-1
20241004  00:40:15,225.39,225.46,225.36,225.38,-1
20241004  00:40:30,225.38,225.41,225.28,225.29,-1
20241004  00:40:45,225.29,225.29,225.19,225.19,-1
20241004  00:41:00,225.19,225.34,225.19,225.25,-1
20241004  00:41:15,225.25,225.28,225.2,225.25,-1
20241004  00:41:30,225.25,225.26,225.07,225.1,-1
20241004  00:41:45,225.1,225.14,225.02,225.06,-1
20241004  00:42:00,225.06,225.08,224.69,224.69,-1
20241004  00:42:15,224.69,224.82,224.66,224.81,-1
20241004  00:42:30,224.81,224.85,224.75,224.77,-1
20241004  00:42:45,224.77,224.79,224.71,224.72,-1
20241004  00:43:00,224.72,224.72,224.6,224.66,-1
20241004  00:43:15,224.66,224.69,224.63,224.67,-1
20241004  00:43:30,224.67,224.69,224.63,224.64,-1
20241004  00:43:45,224.64,224.66,224.58,224.63,-1
20241004  00:44:00,224.63,224.64,224.55,224.62,-1
20241004  00:44:15,224.62,224.68,224.56,224.59,-1
20241004  00:44:30,224.59,224.65,224.53,224.62,-1
20241004  00:44:45,224.62,224.68,224.57,224.65,-1
20241004  00:45:00,224.65,224.66,224.52,224.55,-1
20241004  00:45:15,224.55,224.56,224.45,224.54,-1
20241004  00:45:30,224.54,224.55,224.45,224.49,-1
20241004  00:45:45,224.49,224.5,224.41,224.47,-1
20241004  00:46:00,224.47,224.6,224.46,224.59,-1
20241004  00:46:15,224.59,224.82,224.55,224.79,-1
20241004  00:46:30,224.79,224.86,224.72,224.85,-1
20241004  00:46:45,224.85,224.88,224.75,224.87,-1
20241004  00:47:00,224.87,224.91,224.73,224.75,-1
20241004  00:47:15,224.75,224.94,224.75,224.91,-1
20241004  00:47:30,224.91,225.04,224.86,225.03,-1
20241004  00:47:45,225.03,225.06,224.94,224.97,-1
20241004  00:48:00,224.97,225.04,224.88,225.02,-1
20241004  00:48:15,225.02,225.04,224.91,224.95,-1
20241004  00:48:30,224.95,224.97,224.91,224.91,-1
20241004  00:48:45,224.91,224.93,224.83,224.84,-1
20241004  00:49:00,224.84,224.95,224.83,224.9,-1
20241004  00:49:15,224.9,224.95,224.8,224.88,-1
20241004  00:49:30,224.88,224.89,224.81,224.83,-1
20241004  00:49:45,224.83,224.84,224.68,224.76,-1
20241004  00:50:00,224.76,224.79,224.72,224.73,-1
20241004  00:50:15,224.73,224.8,224.64,224.79,-1
20241004  00:50:30,224.79,224.92,224.78,224.92,-1
20241004  00:50:45,224.92,224.99,224.9,224.98,-1
20241004  00:51:00,224.98,225.05,224.96,224.99,-1
20241004  00:51:15,224.99,225.05,224.98,225.04,-1
20241004  00:51:30,225.04,225.17,225.02,225.11,-1
20241004  00:51:45,225.11,225.19,225.09,225.16,-1
20241004  00:52:00,225.16,225.22,225.08,225.17,-1
20241004  00:52:15,225.17,225.2,225.12,225.13,-1
20241004  00:52:30,225.13,225.17,225.05,225.09,-1
20241004  00:52:45,225.09,225.19,225.08,225.11,-1
20241004  00:53:00,225.11,225.26,225.09,225.21,-1
20241004  00:53:15,225.21,225.26,225.16,225.2,-1
20241004  00:53:30,225.2,225.21,225.16,225.17,-1
20241004  00:53:45,225.17,225.19,225.14,225.17,-1
20241004  00:54:00,225.17,225.21,225.11,225.12,-1
20241004  00:54:15,225.12,225.16,225.07,225.11,-1
20241004  00:54:30,225.11,225.15,225.09,225.11,-1
20241004  00:54:45,225.11,225.13,225.09,225.11,-1
20241004  00:55:00,225.11,225.12,224.96,225,-1
20241004  00:55:15,225,225,224.94,224.94,-1
20241004  00:55:30,224.94,224.98,224.89,224.91,-1
20241004  00:55:45,224.91,224.94,224.87,224.88,-1
20241004  00:56:00,224.88,224.92,224.85,224.91,-1
20241004  00:56:15,224.91,224.95,224.9,224.91,-1
20241004  00:56:30,224.91,224.95,224.81,224.88,-1
20241004  00:56:45,224.88,224.91,224.83,224.84,-1
20241004  00:57:00,224.84,224.87,224.67,224.78,-1
20241004  00:57:15,224.78,224.78,224.61,224.69,-1
20241004  00:57:30,224.69,224.78,224.57,224.76,-1
20241004  00:57:45,224.76,224.77,224.69,224.75,-1
20241004  00:58:00,224.75,224.75,224.7,224.73,-1
20241004  00:58:15,224.73,224.73,224.58,224.66,-1
20241004  00:58:30,224.66,224.67,224.58,224.63,-1
20241004  00:58:45,224.63,224.68,224.52,224.54,-1
20241004  00:59:00,224.54,224.54,224.36,224.37,-1
20241004  00:59:15,224.37,224.37,224.26,224.36,-1
20241004  00:59:30,224.36,224.41,224.32,224.41,-1
20241004  00:59:45,224.41,224.42,224.28,224.34,-1
20241004  01:00:00,224.34,224.41,224.28,224.41,-1
20241004  01:00:15,224.41,224.45,224.34,224.44,-1
20241004  01:00:30,224.44,224.48,224.37,224.41,-1
20241004  01:00:45,224.41,224.43,224.33,224.4,-1
20241004  01:01:00,224.4,224.51,224.37,224.5,-1
20241004  01:01:15,224.5,224.56,224.46,224.5,-1
20241004  01:01:30,224.5,224.62,224.49,224.59,-1
20241004  01:01:45,224.59,224.65,224.5,224.58,-1
20241004  01:02:00,224.58,224.59,224.43,224.45,-1
20241004  01:02:15,224.45,224.47,224.37,224.45,-1
20241004  01:02:30,224.45,224.5,224.44,224.49,-1
