Local time,Open,High,Low,Close,Volume
01.04.2025 00:32:30.000 GMT+1100,30.367,30.367,30.367,30.367,0.12
01.04.2025 00:32:31.000 GMT+1100,30.357,30.368,30.357,30.368,0.35999999999999993
01.04.2025 00:32:33.000 GMT+1100,30.368,30.368,30.347,30.347,0.21
01.04.2025 00:32:34.000 GMT+1100,30.367,30.367,30.357,30.357,0.21
01.04.2025 00:32:36.000 GMT+1100,30.357,30.357,30.347,30.347,0.21
01.04.2025 00:32:39.000 GMT+1100,30.348,30.348,30.348,30.348,0.12
01.04.2025 00:32:40.000 GMT+1100,30.347,30.347,30.347,30.347,0.12
01.04.2025 00:32:44.000 GMT+1100,30.337,30.337,30.328,30.328,0.24
01.04.2025 00:32:46.000 GMT+1100,30.328,30.328,30.317,30.317,0.21
01.04.2025 00:32:47.000 GMT+1100,30.318,30.318,30.297,30.297,0.33
01.04.2025 00:32:57.000 GMT+1100,30.297,30.297,30.297,30.297,0.24
01.04.2025 00:33:00.000 GMT+1100,30.297,30.307,30.297,30.307,0.24
01.04.2025 00:33:03.000 GMT+1100,30.318,30.318,30.318,30.318,0.12
01.04.2025 00:33:05.000 GMT+1100,30.327,30.327,30.327,30.327,0.24
01.04.2025 00:33:07.000 GMT+1100,30.337,30.337,30.327,30.327,0.24
01.04.2025 00:33:11.000 GMT+1100,30.337,30.337,30.327,30.327,0.24
01.04.2025 00:33:13.000 GMT+1100,30.337,30.337,30.337,30.337,0.12
01.04.2025 00:33:14.000 GMT+1100,30.338,30.347,30.337,30.337,0.48
01.04.2025 00:33:16.000 GMT+1100,30.347,30.348,30.347,30.348,0.24
01.04.2025 00:33:19.000 GMT+1100,30.377,30.378,30.377,30.377,0.3609
01.04.2025 00:33:20.000 GMT+1100,30.388,30.388,30.378,30.378,0.24
01.04.2025 00:33:22.000 GMT+1100,30.377,30.377,30.377,30.377,0.12
01.04.2025 00:33:27.000 GMT+1100,30.377,30.377,30.367,30.377,0.35999999999999993
01.04.2025 00:33:30.000 GMT+1100,30.377,30.377,30.377,30.377,0.12
01.04.2025 00:33:32.000 GMT+1100,30.397,30.407,30.397,30.397,0.6009
01.04.2025 00:33:34.000 GMT+1100,30.397,30.407,30.397,30.407,0.24
01.04.2025 00:33:36.000 GMT+1100,30.417,30.417,30.417,30.417,0.24
01.04.2025 00:33:38.000 GMT+1100,30.437,30.437,30.437,30.437,0.12
01.04.2025 00:33:39.000 GMT+1100,30.438,30.438,30.437,30.437,0.35999999999999993
01.04.2025 00:33:40.000 GMT+1100,30.428,30.428,30.428,30.428,0.12
