Local time,Open,High,Low,Close,Volume
01.04.2025 00:42:28.000 GMT+1100,70.597,70.597,70.547,70.547,0.0405
01.04.2025 00:42:29.000 GMT+1100,70.597,70.597,70.547,70.547,0.0264
01.04.2025 00:42:37.000 GMT+1100,70.827,70.827,70.507,70.577,0.0273
01.04.2025 00:42:40.000 GMT+1100,70.577,70.577,70.577,70.577,0.0132
01.04.2025 00:43:04.000 GMT+1100,70.577,70.577,70.577,70.577,0.0132
01.04.2025 00:43:21.000 GMT+1100,70.757,70.757,70.577,70.577,0.0396
01.04.2025 00:43:22.000 GMT+1100,70.687,70.687,70.577,70.577,0.0264
01.04.2025 00:43:25.000 GMT+1100,70.577,70.577,70.577,70.577,0.0132
01.04.2025 00:43:35.000 GMT+1100,70.867,70.867,70.867,70.867,0.0141
01.04.2025 00:43:39.000 GMT+1100,70.947,70.947,70.867,70.867,0.0141
01.04.2025 00:43:40.000 GMT+1100,70.867,70.867,70.867,70.867,0.0132
01.04.2025 00:43:45.000 GMT+1100,70.867,70.867,70.867,70.867,0.0132
01.04.2025 00:43:53.000 GMT+1100,70.867,70.867,70.867,70.867,0.0132
01.04.2025 00:43:59.000 GMT+1100,70.867,70.867,70.867,70.867,0.0132
01.04.2025 00:44:00.000 GMT+1100,70.857,70.857,70.857,70.857,0.0264
01.04.2025 00:44:01.000 GMT+1100,70.857,70.857,70.857,70.857,0.0132
01.04.2025 00:44:27.000 GMT+1100,70.857,70.857,70.857,70.857,0.009
01.04.2025 00:44:28.000 GMT+1100,70.677,70.677,70.677,70.677,0.0132
01.04.2025 00:44:29.000 GMT+1100,70.677,70.677,70.677,70.677,0.0132
01.04.2025 00:44:30.000 GMT+1100,70.597,70.597,70.597,70.597,0.0132
01.04.2025 00:44:36.000 GMT+1100,70.597,70.597,70.597,70.597,0.0132
01.04.2025 00:44:39.000 GMT+1100,70.637,70.637,70.637,70.637,0.0009
01.04.2025 00:44:40.000 GMT+1100,70.597,70.597,70.597,70.597,0.0132
01.04.2025 00:45:00.000 GMT+1100,70.837,70.837,70.667,70.667,0.0141
01.04.2025 00:45:03.000 GMT+1100,70.917,70.917,70.667,70.667,0.027299999999999998
01.04.2025 00:45:04.000 GMT+1100,70.677,70.677,70.677,70.677,0.0009
01.04.2025 00:45:05.000 GMT+1100,70.737,70.737,70.677,70.677,0.0141
01.04.2025 00:45:09.000 GMT+1100,70.737,70.737,70.737,70.737,0.0132
01.04.2025 00:45:10.000 GMT+1100,70.677,70.677,70.677,70.677,0.0132
01.04.2025 00:45:11.000 GMT+1100,70.787,70.787,70.787,70.787,0.0009
01.04.2025 00:45:21.000 GMT+1100,70.867,70.867,70.837,70.837,0.0018
01.04.2025 00:45:22.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
01.04.2025 00:45:27.000 GMT+1100,70.827,70.827,70.827,70.827,0.0132
