date,open,high,low,close,volume
20241003  23:57:45,5,5.05,5,5.05,-1
20241003  23:58:00,5.05,5.05,5.02,5.05,-1
20241003  23:58:15,5.05,5.05,5.02,5.03,-1
20241003  23:58:30,5.03,5.03,5,5.03,-1
20241003  23:58:45,5.03,5.03,5,5,-1
20241003  23:59:00,5,5,4.95,4.95,-1
20241003  23:59:15,4.95,4.98,4.95,4.97,-1
20241003  23:59:30,4.97,4.98,4.95,4.97,-1
20241003  23:59:45,4.97,5,4.95,5,-1
20241004  00:00:00,5,5.03,4.97,5.03,-1
20241004  00:00:15,5.03,5.03,4.95,4.97,-1
20241004  00:00:30,4.97,5.05,4.97,5.05,-1
20241004  00:00:45,5.05,5.05,5,5.05,-1
20241004  00:01:00,5.05,5.05,5,5.05,-1
20241004  00:01:15,5.05,5.05,5.02,5.03,-1
20241004  00:01:30,5.03,5.05,5.02,5.05,-1
20241004  00:01:45,5.05,5.08,5.05,5.05,-1
20241004  00:02:00,5.05,5.08,5.05,5.08,-1
20241004  00:02:15,5.08,5.08,5.05,5.05,-1
20241004  00:02:30,5.05,5.05,5.02,5.03,-1
20241004  00:02:45,5.03,5.05,4.95,4.95,-1
20241004  00:03:00,4.95,5,4.95,4.95,-1
20241004  00:03:15,4.95,4.95,4.9,4.93,-1
20241004  00:03:30,4.93,4.93,4.9,4.9,-1
20241004  00:03:45,4.9,4.9,4.9,4.9,-1
20241004  00:04:00,4.9,4.95,4.9,4.95,-1
20241004  00:04:15,4.95,4.98,4.95,4.95,-1
20241004  00:04:30,4.95,4.98,4.95,4.97,-1
20241004  00:04:45,4.97,4.98,4.95,4.97,-1
20241004  00:05:00,4.97,5,4.97,5,-1
20241004  00:05:15,5,5,4.92,4.97,-1
20241004  00:05:30,4.97,5,4.95,4.95,-1
20241004  00:05:45,4.95,5,4.95,5,-1
20241004  00:06:00,5,5,4.97,4.97,-1
20241004  00:06:15,4.97,5,4.97,5,-1
20241004  00:06:30,5,5.03,5,5.03,-1
20241004  00:06:45,5.03,5.03,5,5,-1
20241004  00:07:00,5,5.03,5,5,-1
20241004  00:07:15,5,5,4.95,4.95,-1
20241004  00:07:30,4.95,4.98,4.95,4.95,-1
20241004  00:07:45,4.95,4.95,4.9,4.9,-1
20241004  00:08:00,4.9,4.9,4.9,4.9,-1
20241004  00:08:15,4.9,4.9,4.85,4.88,-1
20241004  00:08:30,4.88,4.88,4.85,4.88,-1
20241004  00:08:45,4.88,4.88,4.85,4.88,-1
20241004  00:09:00,4.88,4.88,4.85,4.85,-1
20241004  00:09:15,4.85,4.85,4.85,4.85,-1
20241004  00:09:30,4.85,4.88,4.85,4.85,-1
20241004  00:09:45,4.85,4.9,4.85,4.9,-1
20241004  00:10:00,4.9,4.9,4.85,4.85,-1
20241004  00:10:15,4.85,4.9,4.85,4.85,-1
20241004  00:10:30,4.85,4.88,4.85,4.88,-1
20241004  00:10:45,4.88,4.9,4.85,4.9,-1
20241004  00:11:00,4.9,4.9,4.85,4.9,-1
20241004  00:11:15,4.9,4.9,4.85,4.85,-1
20241004  00:11:30,4.85,4.85,4.82,4.83,-1
20241004  00:11:45,4.83,4.83,4.8,4.83,-1
20241004  00:12:00,4.83,4.85,4.82,4.85,-1
20241004  00:12:15,4.85,4.85,4.8,4.8,-1
20241004  00:12:30,4.8,4.8,4.77,4.78,-1
20241004  00:12:45,4.78,4.8,4.77,4.8,-1
20241004  00:13:00,4.8,4.8,4.7,4.7,-1
20241004  00:13:15,4.7,4.7,4.67,4.68,-1
20241004  00:13:30,4.68,4.7,4.6,4.6,-1
20241004  00:13:45,4.6,4.63,4.57,4.58,-1
20241004  00:14:00,4.58,4.6,4.52,4.53,-1
20241004  00:14:15,4.53,4.65,4.52,4.65,-1
20241004  00:14:30,4.65,4.7,4.65,4.7,-1
20241004  00:14:45,4.7,4.7,4.65,4.7,-1
20241004  00:15:00,4.7,4.73,4.65,4.72,-1
20241004  00:15:15,4.72,4.73,4.67,4.7,-1
20241004  00:15:30,4.7,4.7,4.65,4.65,-1
20241004  00:15:45,4.65,4.7,4.65,4.65,-1
20241004  00:16:00,4.65,4.65,4.57,4.58,-1
20241004  00:16:15,4.58,4.63,4.57,4.6,-1
20241004  00:16:30,4.6,4.65,4.6,4.65,-1
20241004  00:16:45,4.65,4.7,4.65,4.7,-1
20241004  00:17:00,4.7,4.7,4.65,4.65,-1
20241004  00:17:15,4.65,4.7,4.65,4.7,-1
20241004  00:17:30,4.7,4.75,4.7,4.7,-1
