,date,open,high,low,close,volume
0,20241004  23:47:00,1.64,1.66,1.64,1.66,-1
0,20241004  23:47:10,1.66,1.66,1.65,1.66,-1
0,20241004  23:47:20,1.66,1.66,1.63,1.65,-1
0,20241004  23:47:30,1.65,1.66,1.63,1.63,-1
0,20241004  23:47:40,1.63,1.64,1.63,1.64,-1
0,20241004  23:47:50,1.64,1.65,1.64,1.65,-1
0,20241004  23:48:00,1.65,1.65,1.64,1.65,-1
0,20241004  23:48:10,1.65,1.65,1.64,1.64,-1
0,20241004  23:48:20,1.64,1.65,1.64,1.64,-1
0,20241004  23:48:30,1.64,1.64,1.64,1.64,-1
0,20241004  23:48:40,1.64,1.66,1.64,1.64,-1
0,20241004  23:48:50,1.64,1.65,1.64,1.65,-1
0,20241004  23:49:00,1.65,1.65,1.64,1.64,-1
0,20241004  23:49:10,1.64,1.65,1.64,1.65,-1
0,20241004  23:49:20,1.65,1.65,1.64,1.65,-1
0,20241004  23:49:30,1.65,1.65,1.64,1.65,-1
0,20241004  23:49:40,1.65,1.65,1.63,1.64,-1
0,20241004  23:49:50,1.64,1.65,1.62,1.64,-1
0,20241004  23:50:00,1.64,1.64,1.64,1.64,-1
0,20241004  23:50:10,1.64,1.64,1.64,1.64,-1
0,20241004  23:50:20,1.64,1.64,1.62,1.62,-1
0,20241004  23:50:30,1.62,1.62,1.62,1.62,-1
0,20241004  23:50:40,1.62,1.64,1.62,1.64,-1
0,20241004  23:50:50,1.64,1.64,1.63,1.64,-1
0,20241004  23:51:00,1.64,1.64,1.63,1.64,-1
0,20241004  23:51:10,1.64,1.65,1.63,1.65,-1
0,20241004  23:51:20,1.65,1.65,1.64,1.65,-1
0,20241004  23:51:30,1.65,1.65,1.64,1.65,-1
0,20241004  23:51:40,1.65,1.65,1.63,1.64,-1
0,20241004  23:51:50,1.64,1.64,1.62,1.64,-1
0,20241004  23:52:00,1.64,1.64,1.63,1.64,-1
0,20241004  23:52:10,1.64,1.64,1.63,1.64,-1
0,20241004  23:52:20,1.64,1.64,1.62,1.63,-1
0,20241004  23:52:30,1.63,1.63,1.62,1.63,-1
0,20241004  23:52:40,1.63,1.63,1.62,1.63,-1
0,20241004  23:52:50,1.63,1.63,1.62,1.63,-1
0,20241004  23:53:00,1.63,1.63,1.62,1.63,-1
0,20241004  23:53:10,1.63,1.63,1.62,1.63,-1
0,20241004  23:53:20,1.63,1.63,1.62,1.63,-1
0,20241004  23:53:30,1.63,1.66,1.62,1.65,-1
0,20241004  23:53:40,1.65,1.65,1.64,1.64,-1
0,20241004  23:53:50,1.64,1.64,1.64,1.64,-1
0,20241004  23:54:00,1.64,1.64,1.64,1.64,-1
0,20241004  23:54:10,1.64,1.67,1.64,1.65,-1
0,20241004  23:54:20,1.65,1.65,1.65,1.65,-1
0,20241004  23:54:30,1.65,1.65,1.65,1.65,-1
0,20241004  23:54:40,1.65,1.65,1.64,1.65,-1
0,20241004  23:54:50,1.65,1.65,1.64,1.65,-1
0,20241004  23:55:00,1.65,1.65,1.63,1.64,-1
0,20241004  23:55:10,1.64,1.67,1.63,1.65,-1
0,20241004  23:55:20,1.65,1.67,1.65,1.67,-1
0,20241004  23:55:30,1.67,1.67,1.67,1.67,-1
0,20241004  23:55:40,1.67,1.67,1.65,1.65,-1
0,20241004  23:55:50,1.65,1.65,1.65,1.65,-1
0,20241004  23:56:00,1.65,1.66,1.64,1.66,-1
0,20241004  23:56:10,1.66,1.66,1.65,1.66,-1
