date,open,high,low,close,volume
20241003  23:30:00,9.05,9.4,9.05,9.32,-1
20241003  23:30:15,9.32,9.33,9.27,9.28,-1
20241003  23:30:30,9.28,9.33,9.25,9.3,-1
20241003  23:30:45,9.3,9.43,9.27,9.4,-1
20241003  23:31:00,9.4,9.4,9.2,9.23,-1
20241003  23:31:15,9.23,9.23,9.15,9.2,-1
20241003  23:31:30,9.2,9.2,9.12,9.15,-1
20241003  23:31:45,9.15,9.33,9.15,9.32,-1
20241003  23:32:00,9.32,9.35,9.32,9.35,-1
20241003  23:32:15,9.35,9.35,9.22,9.23,-1
20241003  23:32:30,9.23,9.23,9.02,9.05,-1
20241003  23:32:45,9.05,9.1,8.97,9.1,-1
20241003  23:33:00,9.1,9.25,9.1,9.23,-1
20241003  23:33:15,9.23,9.35,9.22,9.35,-1
20241003  23:33:30,9.35,9.43,9.35,9.43,-1
20241003  23:33:45,9.43,9.48,9.4,9.48,-1
20241003  23:34:00,9.48,9.5,9.45,9.45,-1
20241003  23:34:15,9.45,9.5,9.37,9.5,-1
20241003  23:34:30,9.5,9.5,9.42,9.45,-1
20241003  23:34:45,9.45,9.45,9.4,9.45,-1
20241003  23:35:00,9.45,9.48,9.45,9.45,-1
20241003  23:35:15,9.45,9.55,9.45,9.55,-1
20241003  23:35:30,9.55,9.63,9.55,9.63,-1
20241003  23:35:45,9.63,9.63,9.57,9.6,-1
20241003  23:36:00,9.6,9.65,9.6,9.63,-1
20241003  23:36:15,9.63,9.7,9.6,9.68,-1
20241003  23:36:30,9.68,9.73,9.67,9.7,-1
20241003  23:36:45,9.7,9.78,9.7,9.75,-1
20241003  23:37:00,9.75,9.78,9.75,9.78,-1
20241003  23:37:15,9.78,9.78,9.75,9.78,-1
20241003  23:37:30,9.78,9.83,9.75,9.75,-1
20241003  23:37:45,9.75,9.85,9.75,9.8,-1
20241003  23:38:00,9.8,9.83,9.75,9.82,-1
20241003  23:38:15,9.82,9.83,9.72,9.75,-1
20241003  23:38:30,9.75,9.75,9.65,9.68,-1
20241003  23:38:45,9.68,9.7,9.67,9.7,-1
20241003  23:39:00,9.7,9.78,9.7,9.75,-1
20241003  23:39:15,9.75,9.78,9.7,9.7,-1
20241003  23:39:30,9.7,9.75,9.7,9.75,-1
20241003  23:39:45,9.75,9.75,9.67,9.75,-1
20241003  23:40:00,9.75,9.78,9.7,9.78,-1
20241003  23:40:15,9.78,9.78,9.7,9.7,-1
20241003  23:40:30,9.7,9.73,9.7,9.7,-1
20241003  23:40:45,9.7,9.7,9.65,9.7,-1
20241003  23:41:00,9.7,9.75,9.65,9.65,-1
20241003  23:41:15,9.65,9.65,9.6,9.6,-1
20241003  23:41:30,9.6,9.65,9.6,9.6,-1
20241003  23:41:45,9.6,9.6,9.6,9.6,-1
20241003  23:42:00,9.6,9.65,9.6,9.63,-1
20241003  23:42:15,9.63,9.75,9.57,9.75,-1
20241003  23:42:30,9.75,9.85,9.75,9.85,-1
20241003  23:42:45,9.85,9.85,9.85,9.85,-1
20241003  23:43:00,9.85,9.85,9.8,9.8,-1
20241003  23:43:15,9.8,9.85,9.8,9.85,-1
20241003  23:43:30,9.85,9.85,9.8,9.8,-1
20241003  23:43:45,9.8,9.8,9.7,9.7,-1
20241003  23:44:00,9.7,9.75,9.7,9.75,-1
20241003  23:44:15,9.75,9.8,9.75,9.75,-1
20241003  23:44:30,9.75,9.75,9.7,9.7,-1
20241003  23:44:45,9.7,9.7,9.6,9.6,-1
20241003  23:45:00,9.6,9.65,9.6,9.65,-1
20241003  23:45:15,9.65,9.7,9.6,9.6,-1
20241003  23:45:30,9.6,9.6,9.5,9.5,-1
20241003  23:45:45,9.5,9.5,9.4,9.43,-1
20241003  23:46:00,9.43,9.55,9.42,9.5,-1
20241003  23:46:15,9.5,9.5,9.4,9.4,-1
20241003  23:46:30,9.4,9.5,9.4,9.45,-1
20241003  23:46:45,9.45,9.5,9.45,9.48,-1
20241003  23:47:00,9.48,9.48,9.45,9.45,-1
20241003  23:47:15,9.45,9.45,9.37,9.4,-1
20241003  23:47:30,9.4,9.5,9.4,9.5,-1
20241003  23:47:45,9.5,9.6,9.5,9.6,-1
20241003  23:48:00,9.6,9.6,9.5,9.5,-1
20241003  23:48:15,9.5,9.55,9.5,9.55,-1
20241003  23:48:30,9.55,9.55,9.55,9.55,-1
20241003  23:48:45,9.55,9.65,9.55,9.65,-1
20241003  23:49:00,9.65,9.7,9.65,9.7,-1
20241003  23:49:15,9.7,9.75,9.7,9.75,-1
20241003  23:49:30,9.75,9.75,9.65,9.65,-1
20241003  23:49:45,9.65,9.7,9.65,9.65,-1
20241003  23:50:00,9.65,9.65,9.65,9.65,-1
20241003  23:50:15,9.65,9.7,9.65,9.7,-1
20241003  23:50:30,9.7,9.75,9.7,9.75,-1
20241003  23:50:45,9.75,9.8,9.75,9.8,-1
20241003  23:51:00,9.8,9.83,9.8,9.82,-1
20241003  23:51:15,9.82,9.85,9.8,9.85,-1
20241003  23:51:30,9.85,9.85,9.7,9.7,-1
20241003  23:51:45,9.7,9.75,9.7,9.75,-1
20241003  23:52:00,9.75,9.8,9.75,9.8,-1
20241003  23:52:15,9.8,9.8,9.65,9.65,-1
20241003  23:52:30,9.65,9.7,9.65,9.7,-1
20241003  23:52:45,9.7,9.7,9.7,9.7,-1
20241003  23:53:00,9.7,9.7,9.7,9.7,-1
20241003  23:53:15,9.7,9.75,9.7,9.75,-1
20241003  23:53:30,9.75,9.8,9.75,9.75,-1
20241003  23:53:45,9.75,9.8,9.75,9.75,-1
20241003  23:54:00,9.75,9.8,9.75,9.8,-1
20241003  23:54:15,9.8,9.8,9.7,9.7,-1
20241003  23:54:30,9.7,9.7,9.65,9.68,-1
20241003  23:54:45,9.68,9.75,9.67,9.75,-1
20241003  23:55:00,9.75,9.8,9.75,9.75,-1
20241003  23:55:15,9.75,9.85,9.75,9.85,-1
20241003  23:55:30,9.85,9.9,9.82,9.9,-1
20241003  23:55:45,9.9,9.9,9.87,9.88,-1
20241003  23:56:00,9.88,9.93,9.87,9.93,-1
20241003  23:56:15,9.93,10,9.92,9.95,-1
