date,open,high,low,close,volume
20241003  23:57:45,7.2,7.25,7.2,7.25,-1
20241003  23:58:00,7.25,7.25,7.2,7.25,-1
20241003  23:58:15,7.25,7.25,7.2,7.2,-1
20241003  23:58:30,7.2,7.23,7.2,7.23,-1
20241003  23:58:45,7.23,7.23,7.15,7.15,-1
20241003  23:59:00,7.15,7.18,7.12,7.15,-1
20241003  23:59:15,7.15,7.15,7.12,7.15,-1
20241003  23:59:30,7.15,7.15,7.15,7.15,-1
20241003  23:59:45,7.15,7.18,6.95,7,-1
20241004  00:00:00,7,7.1,6.97,7.1,-1
20241004  00:00:15,7.1,7.2,7.1,7.15,-1
20241004  00:00:30,7.15,7.25,7.15,7.25,-1
20241004  00:00:45,7.25,7.25,7.2,7.25,-1
20241004  00:01:00,7.25,7.25,7.2,7.25,-1
20241004  00:01:15,7.25,7.25,7.2,7.25,-1
20241004  00:01:30,7.25,7.25,7.25,7.25,-1
20241004  00:01:45,7.25,7.28,7.25,7.28,-1
20241004  00:02:00,7.28,7.28,7.27,7.28,-1
20241004  00:02:15,7.28,7.33,7.25,7.25,-1
20241004  00:02:30,7.25,7.25,7.22,7.23,-1
20241004  00:02:45,7.23,7.25,7.15,7.15,-1
20241004  00:03:00,7.15,7.18,7.1,7.1,-1
20241004  00:03:15,7.1,7.1,7.05,7.1,-1
20241004  00:03:30,7.1,7.1,7.05,7.05,-1
20241004  00:03:45,7.05,7.05,7.05,7.05,-1
20241004  00:04:00,7.05,7.15,7.05,7.15,-1
20241004  00:04:15,7.15,7.15,7.1,7.1,-1
20241004  00:04:30,7.1,7.15,7.1,7.15,-1
20241004  00:04:45,7.15,7.15,7.15,7.15,-1
20241004  00:05:00,7.15,7.2,7.15,7.15,-1
20241004  00:05:15,7.15,7.15,7.1,7.15,-1
20241004  00:05:30,7.15,7.18,7.15,7.15,-1
20241004  00:05:45,7.15,7.18,7.1,7.15,-1
20241004  00:06:00,7.15,7.2,7.15,7.15,-1
20241004  00:06:15,7.15,7.2,7.15,7.18,-1
20241004  00:06:30,7.18,7.2,7.17,7.2,-1
20241004  00:06:45,7.2,7.23,7.17,7.2,-1
20241004  00:07:00,7.2,7.23,7.2,7.2,-1
20241004  00:07:15,7.2,7.2,7.15,7.15,-1
20241004  00:07:30,7.15,7.15,7.1,7.1,-1
20241004  00:07:45,7.1,7.1,7.05,7.1,-1
20241004  00:08:00,7.1,7.1,7.05,7.05,-1
20241004  00:08:15,7.05,7.05,7,7.03,-1
20241004  00:08:30,7.03,7.05,7,7.05,-1
20241004  00:08:45,7.05,7.05,6.97,7.03,-1
20241004  00:09:00,7.03,7.03,6.97,6.98,-1
20241004  00:09:15,6.98,6.98,6.97,6.98,-1
20241004  00:09:30,6.98,7.05,6.97,7.03,-1
20241004  00:09:45,7.03,7.05,7.02,7.05,-1
20241004  00:10:00,7.05,7.08,7.02,7.03,-1
20241004  00:10:15,7.03,7.05,7,7,-1
20241004  00:10:30,7,7.03,7,7.03,-1
20241004  00:10:45,7.03,7.05,7.02,7.05,-1
20241004  00:11:00,7.05,7.05,7.02,7.05,-1
20241004  00:11:15,7.05,7.05,6.97,6.98,-1
20241004  00:11:30,6.98,7,6.95,6.95,-1
20241004  00:11:45,6.95,6.98,6.95,6.98,-1
20241004  00:12:00,6.98,7,6.97,7,-1
20241004  00:12:15,7,7,6.95,6.95,-1
20241004  00:12:30,6.95,6.95,6.9,6.9,-1
20241004  00:12:45,6.9,6.95,6.9,6.95,-1
20241004  00:13:00,6.95,6.95,6.82,6.83,-1
20241004  00:13:15,6.83,6.83,6.8,6.8,-1
20241004  00:13:30,6.8,6.8,6.7,6.7,-1
20241004  00:13:45,6.7,6.7,6.65,6.65,-1
20241004  00:14:00,6.65,6.65,6.57,6.6,-1
20241004  00:14:15,6.6,6.7,6.57,6.7,-1
20241004  00:14:30,6.7,6.78,6.7,6.78,-1
20241004  00:14:45,6.78,6.8,6.75,6.8,-1
20241004  00:15:00,6.8,6.85,6.75,6.85,-1
20241004  00:15:15,6.85,6.85,6.77,6.8,-1
20241004  00:15:30,6.8,6.83,6.75,6.75,-1
20241004  00:15:45,6.75,6.75,6.7,6.7,-1
20241004  00:16:00,6.7,6.7,6.65,6.65,-1
20241004  00:16:15,6.65,6.7,6.65,6.7,-1
20241004  00:16:30,6.7,6.75,6.7,6.75,-1
20241004  00:16:45,6.75,6.8,6.75,6.8,-1
20241004  00:17:00,6.8,6.8,6.75,6.75,-1
20241004  00:17:15,6.75,6.8,6.75,6.8,-1
20241004  00:17:30,6.8,6.85,6.8,6.8,-1
20241004  00:17:45,6.8,6.8,6.8,6.8,-1
20241004  00:18:00,6.8,6.8,6.8,6.8,-1
20241004  00:18:15,6.8,6.8,6.75,6.75,-1
20241004  00:18:30,6.75,6.75,6.72,6.73,-1
20241004  00:18:45,6.73,6.75,6.72,6.75,-1
20241004  00:19:00,6.75,6.75,6.72,6.75,-1
20241004  00:19:15,6.75,6.75,6.72,6.73,-1
20241004  00:19:30,6.73,6.73,6.7,6.7,-1
20241004  00:19:45,6.7,6.7,6.67,6.7,-1
